,판매순위,제품소개,가격,상품평수,평점
33,34,"2020 Apple iPad (10.2-inch, Wi-Fi, 32GB) - Space Gray (8th Generation)",$299.00,4.9 out of 5 stars,"41,543"
34,35,TP-Link AC1750 Smart WiFi Router (Archer A7) -Dual Band Gigabit Wireless Internet Router…,$57.99,4.5 out of 5 stars,"49,863"
35,36,"Fire 7 tablet, 7"" display, 16 GB, latest model (2019 release), Black",$49.99,4.4 out of 5 stars,"190,608"
36,37,Blink Outdoor 5 Cam Kit bundle with Echo Show 5 (2nd Gen),$464.98,4.4 out of 5 stars,"49,923"
37,38,"Fitbit Versa 2 Health and Fitness Smartwatch with Heart Rate, Music, Alexa Built-In, Sleep…",$149.93,4.6 out of 5 stars,"89,857"
38,39,Wyze Cam Pan 1080p Pan/Tilt/Zoom Wi-Fi Indoor Smart Home Camera with Night…,$37.98,4.5 out of 5 stars,"66,334"
39,40,"GE 6-Outlet Surge Protector, 10 Ft Extension Cord, Power Strip, 600 Joules, Twist-to-Close…",$12.99,4.8 out of 5 stars,"55,525"
40,41,Dash Cam Front and Rear CHORTAU Dual Dash Cam 3 inch Dashboard Camera Full HD 170°…,$54.95,4.3 out of 5 stars,"14,638"
41,42,"OHill Cable Clips,16 Pack Black Adhesive Cord Holders, Ideal Cable Cords Management for…",$7.98,4.5 out of 5 stars,"32,860"
42,43,"[2021 Upgraded] COMSOON Bluetooth 5.0 Receiver for Car, Noise Cancelling Bluetooth…",$16.99,4.4 out of 5 stars,"3,293"
43,44,Kindle Paperwhite – Now Waterproof with 2x the Storage – Ad-Supported,$129.99,4.6 out of 5 stars,"108,624"
44,45,"2020 Apple iPad (10.2-inch, Wi-Fi, 32GB) - Silver (8th Generation)",$299.00,4.9 out of 5 stars,"41,543"
45,46,"Ring Stick Up Cam Battery HD security camera with custom privacy controls, Simple setup,…",$99.99,4.7 out of 5 stars,"31,115"
46,47,"USB Wall Charger, Surge Protector, POWRUI 6-Outlet Extender with 2 USB Charging Ports…",$16.97,4.7 out of 5 stars,"32,986"
47,48,"Wyze Cam 1080p HD Indoor WiFi Smart Home Camera with Night Vision, 2-Way Audio,…",$25.98,4.6 out of 5 stars,"41,273"
48,49,"2020 Apple iPad (10.2-inch, Wi-Fi, 128GB) - Space Gray (8th Generation)",$395.00,4.9 out of 5 stars,"41,543"
49,50,"2 Pack Power Strip Surge Protector - 5 Widely Spaced Outlets 3 USB Charging Ports,…",$27.99,4.8 out of 5 stars,531
50,51,"Fujifilm Instax Mini Instant Film, 10 Sheets×5 Pack(Total 50 Shoots)",$36.09,4.8 out of 5 stars,"38,080"
51,52,USB Wall Charger Surge Protector 5 Outlet Extender with 4 USB Charging Ports ( 1 USB…,$17.99,4.8 out of 5 stars,"9,910"
52,53,"Cord Cover Raceway Kit, 157in Cable Cover Channel, Paintable Cord Concealer System…",$15.99,4.5 out of 5 stars,"17,324"
